id,estado,name,tipo_plan
plan_mejoramiento_tipo_calificacion_1,terminado,Cumplida,interno
plan_mejoramiento_tipo_calificacion_2,en_progreso,Parcial,interno
plan_mejoramiento_tipo_calificacion_3,en_progreso,No Cumplida,interno
plan_mejoramiento_tipo_calificacion_4,terminado,En Tiempo,interno
plan_mejoramiento_tipo_calificacion_5,en_progreso,Seguimiento En Proceso,interno
plan_mejoramiento_tipo_calificacion_6,terminado_con_retrazo,"Vencida, Cumplida Y Documentada",contraloria_gral
plan_mejoramiento_tipo_calificacion_7,terminado_con_retrazo,Vencida Sin Evidencia De Cumplimiento,contraloria_gral
plan_mejoramiento_tipo_calificacion_8,terminado_con_retrazo,Vencida Con Cumplimiento Documentado Parcialmente,contraloria_gral
plan_mejoramiento_tipo_calificacion_9,en_progreso,No Vencida En Plazo Cumplida Y Documentada,contraloria_gral
plan_mejoramiento_tipo_calificacion_10,en_progreso,No Vencida En Plazo Con Evidencia De Avance Parcial,contraloria_gral
plan_mejoramiento_tipo_calificacion_11,en_progreso,No Vencida En Plazo Sin Evidencia De Avance y/o Cumplimiento,contraloria_gral
plan_mejoramiento_tipo_calificacion_12,bloqueado,No Aplica el Análisis de Cumplimiento a la Fecha de Corte del Monitoreo,contraloria_gral
plan_mejoramiento_tipo_calificacion_13,sin_iniciar,Sin Iniciar,contraloria_bog
plan_mejoramiento_tipo_calificacion_14,en_progreso,En Progreso,contraloria_bog
plan_mejoramiento_tipo_calificacion_15,terminado,Terminada,contraloria_bog
plan_mejoramiento_tipo_calificacion_16,terminado_con_retrazo,Terminada Con Retrazo,contraloria_bog
