avances_id,accion_id,descripcion,fecha_corte,estado,porcentaje,tipo_calificacion
1,1,1. Ejecutada antes de suscribirse el Plan de Mejoramiento,31/10/2015,en_progreso,,
2,2,'2.De las gestiones adelantadas por el IDU en relación con el recibo de las obras por parte de las ESP''s; a la fecha se han obtenido los siguientes resultados: - EAAB los planos record se encuentran en revisión por parte de la EAB; el contratista se encuentra finalizando la entrega de 3 sumideros; - UNE-EPM se suscribió acta de recibo de obra - CODENSA se suscribió acta de recibo de obra. ETB se realizó reunión el 6 de noviembre de 2013; en la cual se comprometió el contratista a construir la cámara pendiente para posteriorimente CODENSA pueda hacer la intervención a su cargo. TELEFÓNICA suscribió las actas de recibo final',31/10/2015,en_progreso,,
3,3,3. Ejecutada antes de suscribirse el Plan de Mejoramiento.  De la acción 2 que no se ha cerrado para la vigencia 2014; la DTC reporta avances con el memorando 20143350418553 y 20143350657943,31/10/2015,en_progreso,,
4,4,1.Dentro del memorando 20133750138103 se menciona que fue recibido concepto técnico por parte de la Universidad Nacional donde se colige que los daños ocasionados se derivan de la etapa de ejecución contractual. La DTGJ mediante memorando 20144250538543 del 21 de agosto de 2014; expresa que la acción contractual para obtener la liquidación judicial del contrato caducó el 8 de septiembre de 2010 y que la Universidad Nacional emitió concepto relacionado con definir las causas que ocasionaron los daños solo hasta el 12 de junio de 2013; esto es casi tres años después de haber caducado las acciones contractuales en contra del contratista; de lo que ratifican que la accióin contractual por incumplimiento se encontraba caducada para el momento en que la Universidad Nacional emite su concepto definitivo endilgando responsabilidad al contratista y que el área técnica remitió el asunto a la Oficina de Control Disciplinario para que se investiguen posibles omisiones en las actuaciones,31/10/2015,en_progreso,,
5,5,2. Mediante memorando 20133750183923 del 21 de agosto de 2013; se remitió la información a la Oficina de Control Disciplinario para iniciar las investigaciones pertinentes.Se dió trámite a investigación disciplinaria en la Personería Distrital con radicado 2013ER59488 de 27/sep/2013; quien es autoridad para determinar responsable,31/10/2015,en_progreso,,
6,6,Mediante oficio 20135260350812 del 28 de febrero de 2013 Inversiones M.G Ltda radicó informe técnico de avalúo de predio localizado en la AK 72 No 19-91. Mediante oficio 20133250347131 la DTDP solicitó revisar algunos aspectos; los cuales una vez  estén respondidos se estudiarán las acciones a seguir. Con memorando 20133250079603; la DT de Predios solicitó se tramitara ante el ente de control ampliación del plazo para el cumplimiento de la acción correctiva; dicha solicitud fue respondida mediante el memorando 20131350082463; del 3 de mayo de 2013; en el cual se le informa que no es procedente dicho trámite porque debió haberse solicitado con 30 días hábiles de anterioridad al vencimiento de la acción correctiva. Mediante memorando 20133250143563 se informa que el señor Jorge Luis Gómez; representante de Inversiones MG manifestó el deseo de continuar con la negociación; manifestación que quedó plasmada en acta del 17 de mayo de 2013. Con oficios 20133251290101 y 20133251393771 se solicitó a INVERSIONES M.G LTDA; se informara respecto del trámite de registro de la escritura; sin que a la fecha se tenga respuesta. A la fecha se efectúo solicitud para el trámite de aclaraciónd e la escritura en la Notaría 74 y se realizó el traslado presupuestal para continuar  con el proceso de adquisición predial. Con memorando 20143250043183 del 26 de febrero de 2014 la DTDP informa que por oficio 20143250120561 se envía la documentación solicitada por catastro para evidenciar el área a avaluar. Con memorando 20143250422203 del 3 de julio de 2014; la DTDP informa que INVERSIONES MG no aceptó el el valor a pagar y la DT se compromietió a enviar el informe técnico de avalúo para su revisión. Con memorando 20143250559893 del 29 de agosto de 2014; la DTDP informa los avances en la negociación. Con memorando 20143250584013 del 19 de Septiembre de 2014; la DTDP informa que con escritura 2499 de septiembre 8 de 2014; se adelantó la resciliación de la escritura 3714 de septiembre 9 de 2008 y adicionalmente se recibió la suma de $472.040.738; correspondiente al valor pactado por el predio; como consta en el comprobante de consignación en línea 2102 del 16 de septiembre de 2014; recibida en el Banco de Occidente en la oficina existente en la tesorería del Instituto,31/10/2015,en_progreso,,
7,7,Se libró oficio CU-2-055-646-12; entre otros; para  establecer los parámetros de colaboración en los procesos de restitución del espacio públic; proveniente de las áreas de cesión de los urbanizadores y oficios citando a los alcaldes locales para una reunión de coordinación en relación con la restitución de las zonas de cesión,31/10/2015,en_progreso,,
8,8,1. Se adelantaron reuniones de seguimiento por parte de la Interventoría del Consorcio Urbanizadores y Representantes del proyecto Camino de Arrayanes; Parque Industrial San Pablo; suba Park; Bosques de Soratama; entre otras,31/10/2015,en_progreso,,
9,9,2. Se libraron oficios citando a los alcaldes locales para una reunión de coordinación en relación con la restitución de las zonas de cesión; producto de los proyectos urbanísticos,31/10/2015,en_progreso,,
10,10,"Se libraron oficios por parte del Consorcio Urbanizadores como interventor  informando a las alcaldías locales  la ubicación de las vías objeto de cesión. Adicionalmente; la interventoría incluyó dentro del Informe Mensual un capítulo especial ""Proyectos de seguimiento de la Contraloría""",31/10/2015,en_progreso,,
